ID,Parity,maxDIM,Parity_class,Lac_len_group,a,b,b0,c,Tp,Mp,MY_tmax,t_max,Persistency,Model
1001_8,8,373,Multiparous,Group1,30.4462086436307,0.0154036588925036,0.012023237621562,0.00582274787804321,80.9127131917447,42.1693347213959,12.3145509549413,373,-0.102211856232049,Dijkstra
1001_8,8,373,Multiparous,Group1,11.2846019092007,0.417395564954785,,0.00619871039114079,67.3358712727291,43.0839612220013,13.2362691896588,373,-0.0976486582073689,Wood
1001_8,8,373,Multiparous,Group1,54.9165433708714,28.5107996988244,0.0262462100702759,0.119565146906455,69.8745899885652,42.0064572963804,10.3171464549747,373,-0.104541914979052,Wilmink
1002_1,1,400,Primiparous,Group2,33.5673428024415,0.0414825701748512,0.0575538836612369,0.00206145228689641,52.1574292509393,59.7982499959852,30.257173965595,400,-0.084926568840539,Dijkstra
1002_1,1,400,Primiparous,Group2,34.6768388046135,0.167644282480388,,0.00295887076873305,56.658196853988,57.6974990113998,28.990217978599,400,-0.0836113772624202,Wood
1002_1,1,400,Primiparous,Group2,64.3103329742282,41.683637551419,0.0765961576610642,0.0890894767911734,46.7257688732003,58.9844523300913,28.6745422577568,400,-0.0857971156731651,Wilmink
1024_1,1,393,Primiparous,Group1,15.7986740172416,0.274865409565242,6.59777060473205e-05,0.273287607182263,87.2538868783845,16.9233557380188,7.32697799941512,393,-0.0313867530174832,Dijkstra
1024_1,1,393,Primiparous,Group1,8.89795682924508,0.217480506911129,,0.00337292153351485,64.4783772021215,17.7154425374505,8.66637556853875,393,-0.0275448139207541,Wood
1024_1,1,393,Primiparous,Group1,46.8504574493723,30.9783341721433,0.00349561350968574,0.081867508331974,80.0130714528486,16.8799180166199,6.83438513107432,393,-0.0320956946418683,Wilmink
1025_4,4,426,Multiparous,Group2,21.9601366067519,0.0121669379259609,0.00645027348719686,0.00546730640168239,124.015858324591,31.4958144634046,12.4980758097328,426,-0.0629097228360149,Dijkstra
1025_4,4,426,Multiparous,Group2,9.15248977024279,0.358071568761593,,0.00401544021077191,89.1736770979735,31.9414811971161,14.4597801587994,426,-0.0519012317318253,Wood
1025_4,4,426,Multiparous,Group2,48.8326370081304,28.2120116458136,0.0114894453892082,0.0870499692104286,114.426266611628,31.2953178148839,11.5381091849994,426,-0.0634110212533782,Wilmink
1035_2,2,392,Multiparous,Group1,17.6117778922597,0.0659811876417742,0.0665323632516986,0.00352550436620039,44.0288908112941,38.5543984715117,11.9208127347303,392,-0.07653964663583,Dijkstra
1035_2,2,392,Multiparous,Group1,19.8388788754567,0.219649926728674,,0.00485158675471827,45.2738326311613,36.7985837335175,10.9946502073135,392,-0.07442165015124,Wood
1035_2,2,392,Multiparous,Group1,40.6818107555575,40.3760506134833,0.114578346498082,0.0794261334937286,35.4750117575948,37.1709640380898,9.54676642601586,392,-0.0774817993775289,Wilmink
1039_7,7,442,Multiparous,Group2,23.1028400359011,0.0178719645579932,0.0155159651594515,0.00600420900459084,70.3000118881718,32.5485692276527,5.13833039568406,442,-0.0737429101658245,Dijkstra
1039_7,7,442,Multiparous,Group2,9.02195650167615,0.420609051663054,,0.00699850230640653,60.0998661210732,33.1774372522149,5.30358640057626,442,-0.0729872769839757,Wood
1039_7,7,442,Multiparous,Group2,37.9835847455628,19.8482277537169,0.046055142176263,0.0814610225144995,52.4985783130468,31.9382253842081,1.97781276550817,442,-0.0769199056808052,Wilmink
1048_1,1,445,Primiparous,Group2,22.3874956425118,0.0445880081519743,0.0650379174742997,0.00175605760620834,49.7308919616265,39.6361338666989,20.3407521775071,445,-0.0488158100311714,Dijkstra
1048_1,1,445,Primiparous,Group2,23.8496495292376,0.151170255879501,,0.00253340902505969,59.6706865666663,38.0427447647937,19.4189609224036,445,-0.0483321231817266,Wood
1048_1,1,445,Primiparous,Group2,41.9623712463814,22.5561839287502,0.0762034821841735,0.0510092961253027,46.1581075553663,38.9384959239511,19.2632344706217,445,-0.0493309800851992,Wilmink
1063_1,1,509,Primiparous,Group2,13.8318305670915,0.307399473804388,9.65053312298136e-05,0.304006020616926,115.025909228078,16.8067222279725,1.77444854900873,509,-0.0381554879649846,Dijkstra
1063_1,1,509,Primiparous,Group2,3.34660353418028,0.493524764383071,,0.00596288951483753,82.7660420598147,18.0624530983994,3.48581765167879,509,-0.0341986722905973,Wood
1063_1,1,509,Primiparous,Group2,26.3234560000212,13.2640981924785,0.0111598556476394,0.0512807007045856,94.9895392944464,16.8572215626418,0.176318159387513,509,-0.0402910191564406,Wilmink
1077_3,3,438,Multiparous,Group2,39.6334522445785,0.017078397756208,0.0185648699984063,0.00309933937512553,91.9276780251782,63.2909842927128,25.5803167679912,438,-0.108967591830315,Dijkstra
1077_3,3,438,Multiparous,Group2,19.1574826505541,0.348280365187823,,0.00421156863543058,82.6961152331347,62.9367936800097,25.1873967181905,438,-0.106245381996284,Wood
1077_3,3,438,Multiparous,Group2,77.3751356307131,42.8440524778632,0.0269518434900938,0.123596851425209,82.9105981522074,62.5418063977816,23.239394754804,438,-0.11068314469105,Wilmink
1104_6,6,370,Multiparous,Group1,23.2957392231992,0.293588083928216,7.35538224286098e-05,0.292301527212003,59.7088333749005,24.2072400421937,8.6665399952775,370,-0.0500842489844154,Dijkstra
1104_6,6,370,Multiparous,Group1,15.1809146640473,0.183843565156786,,0.00389541068500293,47.1949121730787,25.6560947677592,10.6535859709849,370,-0.0464754409472574,Wood
