ID,MY_305d_total,MY_305d
1001_8,9792.60066310914,18.4555903984199
1002_1,14568.4277082128,36.2105040415493
1024_1,4483.5515200097,11.7190845450791
1025_4,8268.89903062257,20.0777819033655
1035_2,8124.37128994477,16.6383928408233
1039_7,7108.78549972697,12.0707594352031
1048_1,9880.97979237523,26.0822862710618
1063_1,4382.87344598449,10.1163661371149
1077_3,15822.7911369054,38.1527303636505
1104_6,6085.76710748538,12.8049096112598
1112_1,11173.2562691986,30.7119293424681
1117_1,9889.98782057432,24.0539534999664
1135_6,12684.207057991,30.1977988508065
1138_5,12248.7078439547,23.7827981729439
1141_4,4634.53138770872,8.17056443126223
1152_5,5102.13069017477,10.2630344414852
1181_3,10518.1031172229,21.6115074357301
1183_4,10930.0821359935,24.8505173902145
1206_3,3703.1416098266,9.37361207333355
1215_8,5544.92420567639,10.9620623947751
1300_2,9786.10952141852,20.4267709649081
1313_5,5022.06522309891,9.19612697663987
1316_3,5985.66137395546,9.04623550493929
1346_2,11856.6584337013,29.844464680662
1369_1,8381.79386323746,22.4772826167807
1375_2,9051.84076755195,19.3646202593561
1376_7,9974.91087935904,24.2109057659243
1389_5,6387.66636272123,14.8435251586238
1404_1,4873.0734698231,14.629253672734
1407_1,15862.3241880024,45.9687691356584
1414_2,2780.66498180559,3.79901867426341
1416_3,5500.70518278377,11.4915549106613
1422_1,8650.77502605945,19.7067221985115
1428_3,6267.36043095872,13.6863459937417
1429_2,7224.59448516696,17.1757501924409
1450_6,6099.36151871362,14.1922341488966
1456_1,16348.7737430441,47.3390483677948
1459_1,9672.85965532197,25.2046065619106
1495_1,8603.63864462155,23.5902194616306
1509_1,5347.2367169169,8.33169045860371
1512_1,8972.50855793992,27.7083705786273
1514_3,1762.84016500608,2.37737668630449
1517_1,10862.3975232158,29.711811824245
1523_1,1493.83725668928,3.7064660039256
1525_4,2247.30919809371,5.27442142777544
1528_3,14238.1314545661,32.9242836841691
1529_3,7733.51850988478,14.7080083484042
1530_1,9699.3064655047,25.5986925903564
1560_1,9217.35954394896,28.1582447078022
1581_2,15757.7582958089,38.6724514623416
1603_3,9882.52372177781,21.5325751375915
1607_2,5979.48586393207,12.1875957312031
1642_1,7718.56747295329,17.9305926109541
1665_5,11712.0184322847,28.0074450872704
1669_2,11796.4359550478,25.2299084559383
1670_2,8987.23314287532,21.1370775991256
1687_1,11269.2452748452,29.1858909112775
1703_1,14206.8072824709,42.4586689343108
1705_3,12719.9805553362,20.2709983039896
1719_5,5500.20409290387,4.45774764034477
1722_3,6301.50785222092,15.7364978741725
1738_3,12474.9857606558,26.5843664129887
1767_5,11761.7577786443,30.6083759870342
1776_4,6190.64631307982,14.6494176159845
1789_2,15513.600566632,37.9214457393863
1797_2,8617.65144594129,22.7939149319784
1807_2,7270.52612247641,18.3140017042492
1836_1,14716.9175361968,30.895527234949
1854_3,5944.95367842298,14.3155655907388
1856_7,3737.7075213851,8.68600121749665
1876_4,7316.88150629969,14.0896789629328
1877_5,2839.9520454989,4.582520223096
1898_4,8484.7369287817,23.1242220242226
1917_1,7450.4683686,19.3214063415595
1925_2,9408.67403608202,16.4918187424074
1950_3,8813.46921531928,23.9677554753022
1966_2,10883.8309429969,15.9899503685694
1970_3,7187.08855396913,13.3916930854689
1971_3,7233.27472705295,17.3302170966178
1975_1,12818.9583049483,35.82380246758
1978_2,8647.01802954841,10.7277961729766
