ID,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual,nobs,Model
1001_8,1.38411522719339,TRUE,1.49011611938477e-08,-568.275550354925,1146.55110070985,1165.50090156434,618.795312773998,323,327,Dijkstra
1063_1,1.49058039103043,FALSE,1.49011611938477e-08,-814.319779621095,1638.63955924219,1659.1746736809,988.714306445369,445,449,Dijkstra
1141_4,1.32407880671359,TRUE,1.49011611938477e-08,-467.090286615181,944.180573230362,962.282577558948,476.86623469756,272,276,Dijkstra
1313_5,1.30766811729482,TRUE,1.49011611938477e-08,-549.696841801306,1109.39368360261,1128.3434844571,552.32867731157,323,327,Dijkstra
1404_1,1.30943617981257,TRUE,1.49011611938477e-08,-501.169939687,1012.339879374,1030.82534680653,504.099194046625,294,298,Dijkstra
1450_6,1.41940265620652,TRUE,1.49011611938477e-08,-633.122474426849,1276.2449488537,1295.66156079614,715.219884658379,355,359,Dijkstra
1517_1,1.36435262712026,TRUE,1.49011611938477e-08,-497.845800746923,1005.69160149385,1024.02373493441,530.51555597204,285,289,Dijkstra
1581_2,1.2569951697822,TRUE,1.49011611938477e-08,-559.841130719398,1129.6822614388,1148.84167382521,532.472420760398,337,341,Dijkstra
1687_1,1.31823120856049,TRUE,1.49011611938477e-08,-604.880860099683,1219.76172019937,1239.16438513137,615.157665804885,354,358,Dijkstra
1776_4,1.46925390976706,FALSE,1.49011611938477e-08,-517.449640258814,1044.89928051763,1063.21408291831,613.072802587881,284,288,Dijkstra
1876_4,1.33294869311243,TRUE,1.49011611938477e-08,-571.315580085269,1152.63116017054,1171.71671597035,589.881736532089,332,336,Dijkstra
1970_3,1.39927748783767,TRUE,1.49011611938477e-08,-638.525473487533,1287.05094697507,1306.55043374298,706.829873156917,361,365,Dijkstra
1002_1,1.4087438542606,TRUE,1.49011611938477e-08,-616.32308857611,1242.64617715222,1261.95010826955,688.642058680205,347,351,Dijkstra
