Model,cor_RMSPEvsMp,cor_RMSPEvsPersist,cor_MAEvsMp,cor_MAEvsPersist
Wood,0.250799554519211,-0.348012728209003,0.228514116716485,-0.321464049984832
Wilmink,0.103309194293954,-0.355982605282978,0.191816550437871,-0.466985680885558
Dijkstra,0.00688809131198022,-0.113743789763133,-0.0258853962547841,-0.093955498140356
