ID,n,obs_mean,pred_mean,R2_adj,RMSPE,RMSE_perc,MAE,MAE_perc,RMSPE_adj,MAE_adj,DW,CCC,Cb,r,mean_bias,slope_bias,random_error,mean_bias_perc_MSPE,slope_bias_perc_MSPE,random_error_perc_MSPE,Model,Parity,maxDIM,Parity_class,Lac_len_group
1002_1,351,45.2490598253388,45.2497228025568,0.977519940694828,1.40069382347574,3.09552028016143,1.08552649615333,2.39900342757056,1.4087438542606,1.09803976988421,2.18434644607517,0.988726847256899,0.999932507402771,0.988793583503973,4.39538791585863e-07,1.04638820795149e-05,1.96193228370221,2.24032374877472e-05,0.000533342766915625,99.9994442539954,Dijkstra,1,400,Primiparous,Group2
1077_3,385,46.7156036804454,46.7149714272517,0.986917375249421,1.40415291191358,3.00574711935348,1.10895198401035,2.37383635582674,1.41150454808853,1.12059452452489,1.97208009187131,0.993468671979827,0.999979928275394,0.993488613009666,3.99744100989019e-07,5.8164485107889e-06,1.9716391838428,2.02746447703957e-05,0.000295004797043349,99.9996847205602,Dijkstra,3,438,Multiparous,Group2
1152_5,368,14.8198362663864,14.8176677626873,0.931794061003402,1.39249125225849,9.39613115306049,1.09369359500604,7.37993035379678,1.40012139842854,1.10571220594017,2.13474647275498,0.965032250476421,0.999428236067259,0.965584336774208,4.70240829322388e-06,3.85415960346262e-05,1.93898864361209,0.000242513200698539,0.00198767211002414,99.9977698146891,Dijkstra,5,419,Multiparous,Group2
1316_3,395,16.1684276947053,16.1774640998526,0.969864402640981,1.42842650091836,8.83466548442509,1.11971130985981,6.92529496994001,1.43571443853654,1.1311661570195,1.96469731279901,0.984786869595346,0.999848131271503,0.984936450641755,8.16566179857442e-05,0.000324313644081414,2.03999629826382,0.00400198623797547,0.0158945933889655,99.9801034203743,Dijkstra,3,443,Multiparous,Group2
1407_1,311,52.2981636943164,52.2979195864676,0.92597631740988,1.42748818204625,2.729518746375,1.11869475976931,2.13907082150742,1.43675768322415,1.13327058725816,1.78692293858588,0.961969860120297,0.999294612880646,0.962648900254996,5.9588641856399e-08,6.32075478073792e-06,2.03771612953829,2.9242765669727e-06,0.000310187218823275,99.9996868885045,Dijkstra,1,347,Primiparous,Group1
1456_1,339,52.9332276856487,52.9329346191249,0.959914699866595,1.31026930501027,2.47532478614659,1.0579147782939,1.99858354486991,1.31806859594337,1.07054659654218,2.12005461522787,0.979740057641749,0.999802097606134,0.979933988923988,8.58879873653902e-08,5.79506691868921e-06,1.71679977069717,5.00277869441655e-06,0.000337549384993728,99.9996574478353,Dijkstra,1,384,Primiparous,Group1
1523_1,321,4.92960730710785,4.92935888968151,0.064866774720467,1.51911240559553,30.8160936755585,1.21833795193468,24.7147059802917,1.52866666585385,1.23371130148591,1.9023495555821,0.137956584505771,0.508387250253805,0.271361220087439,6.17112177119089e-08,8.06700744452702e-06,2.30769437211558,2.67414095576012e-06,0.000349568778541029,99.9996477570805,Dijkstra,1,358,Primiparous,Group1
1603_3,314,31.1218936061942,31.1215847989132,0.965320327696409,1.3286044488963,4.26903473711466,1.05288538355008,3.38310193098444,1.33714861700957,1.06647100140234,2.30426936820185,0.982529597032557,0.999850685839624,0.982676324522875,9.53619368039756e-08,1.86043327143115e-06,1.7651878258318,5.40236170617743e-06,0.000105395651549508,99.9998892019859,Dijkstra,3,357,Multiparous,Group1
1703_1,441,44.569159010292,44.5690612594587,0.942985715284497,1.2714220946971,2.85269482963209,1.0108247228333,2.26799146602671,1.27722770523155,1.0200771230423,1.83281554043451,0.97086682969097,0.999580103439338,0.971274664582086,9.5552254132304e-09,7.04562305171669e-07,1.61651342876644,5.91100638079371e-07,4.35852855524471e-05,99.9999558236139,Dijkstra,1,499,Primiparous,Group2
1789_2,304,50.6217159225391,50.62015748817,0.97617375549163,1.41072654755804,2.78680112249993,1.09026863587937,2.15375677416327,1.42010024900058,1.10480555102443,2.05410647268624,0.988075327072155,0.999939711269663,0.988134900470706,2.42871768284185e-06,7.54066499011623e-05,1.99007155661745,0.000122036953236931,0.00378899444458033,99.9960889686019,Dijkstra,2,347,Multiparous,Group1
1877_5,365,7.88078944949655,7.87332284959026,0.904950753334035,1.38552103633413,17.5809929349482,1.10116354439312,13.9727568088177,1.3931759069436,1.11336480250274,1.9576562399082,0.950685206556793,0.998926471628262,0.951706890905759,5.57501141606091e-05,0.000186178041351952,1.91942661396891,0.00290415313567168,0.00969844727183561,99.9873973995929,Dijkstra,5,412,Multiparous,Group2
1971_3,431,20.275794953398,20.2737821303959,0.950322893172893,1.42512561353558,7.02870401289367,1.12673150451274,5.55702751533258,1.43178511528901,1.13728636638171,1.99838158157062,0.97473665466156,0.999705921499359,0.975023388077616,4.05145643790056e-06,4.24576536923473e-05,2.03093650524503,0.000199482536745237,0.00209049772411945,99.9977100197393,Dijkstra,3,482,Multiparous,Group2
1024_1,346,13.8552324110362,13.8593809309103,0.826556087876432,1.39105601135881,10.0399327134403,1.10767843492481,7.9946579174125,1.39916719387174,1.12063373825726,1.92497306137832,0.905539165826874,0.99510712421776,0.909991641893536,1.72102171454934e-05,0.000213421100142492,1.9348061954202,0.000889399979767322,0.0110293043105709,99.9880812957096,Dijkstra,1,393,Primiparous,Group1
1104_6,330,18.6564815323709,18.6623817903574,0.924594699814744,1.44830625866934,7.76301928183182,1.1561641893705,6.19711807590535,1.45716448351452,1.17035025304376,1.98719094467073,0.961084287484528,0.99913062991337,0.961920552438532,3.48130443072172e-05,0.00021400460072581,2.09734220125576,0.00165966787584075,0.0102023987897295,99.9881379333344,Dijkstra,6,370,Multiparous,Group1
1181_3,316,33.0051102572778,33.0056574982486,0.979256133503907,1.40485455112031,4.25647586137221,1.09758774414493,3.32550849122799,1.41383134885532,1.11165938189038,2.02891807882079,0.989618241578538,0.999944115603613,0.989673548887438,2.99472680164717e-07,3.4688673472024e-06,1.97361254146337,1.51738044865742e-05,0.000175761992337197,99.9998090642005,Dijkstra,3,357,Multiparous,Group1
1346_2,308,38.8281700331074,38.8281652924218,0.946385045861127,1.53107634191988,3.9432101502965,1.21926177014137,3.14014739582563,1.54111629436083,1.23530468816955,1.93939515787091,0.972730721905535,0.999628240906086,0.973092477883407,2.24741004682834e-11,8.10398636752812e-10,2.34419476395387,9.58713021881859e-10,3.45704481950984e-08,99.9999999644707,Dijkstra,2,347,Multiparous,Group1
1414_2,313,8.50800306393787,8.50989876862506,0.83565117344477,1.46382886489673,17.2053166165553,1.14296887473927,13.4340439953986,1.47327302004888,1.15776458832813,2.14178393435421,0.91128721333645,0.995937240639767,0.915004657071625,3.59369626103297e-06,2.36813970482593e-05,2.14276767061155,0.000167710693374389,0.00110516394000871,99.9987271253666,Dijkstra,2,355,Multiparous,Group1
1459_1,393,27.872286639844,27.8739172557853,0.967833567715406,1.48562028915914,5.33009834591547,1.16638099278118,4.18473377463697,1.49323890470631,1.17837462766839,1.98511224846014,0.983770171370593,0.999857194437749,0.983910679288354,2.6589083481556e-06,3.09050212824657e-05,2.20703407963165,0.000120472444780407,0.0014002752191409,99.9984792523358,Dijkstra,1,440,Primiparous,Group2
1525_4,411,6.38097806902041,6.38144042245791,0.685332136747962,1.34567417108517,21.0888386784842,1.0902946861568,17.0866389817287,1.35227065263072,1.10101011304778,2.21373795532306,0.814869556021726,0.982673422398357,0.829237402221501,2.13770701166738e-07,2.77338727944788e-07,1.81083848361633,1.18050640697698e-05,1.53154825920836e-05,99.9999728794533,Dijkstra,4,460,Multiparous,Group2
1607_2,358,17.3312377688712,17.331933188021,0.949120135591827,1.34751594518323,7.77507044305581,1.07843510547812,6.22249327982275,1.35510764438192,1.09062081288465,2.1202737257461,0.974112128033183,0.999655886965889,0.974447448101131,4.83607793903124e-07,4.25392535475623e-06,1.81579448498992,2.66333297153387e-05,0.000234272892178321,99.9997390937784,Dijkstra,2,404,Multiparous,Group2
1705_3,334,37.6964757279618,37.7037167985491,0.991661380000973,1.37942333419622,3.65928991386591,1.11170749435387,2.94910193296729,1.38775829423828,1.12518273670967,1.94686974336517,0.99584616470864,0.999985597145057,0.995860507943079,5.2433103250545e-05,0.000327179373921217,1.90242912244782,0.00275556351451221,0.0171945486646145,99.9800498878197,Dijkstra,3,378,Multiparous,Group1
1797_2,367,26.4684662817018,26.4682362895861,0.937934287991456,1.36650294725081,5.16275832799388,1.09740157686731,4.14607165064933,1.37401126171614,1.10949415622673,1.98584457718769,0.96825068716418,0.999502416737122,0.968732712348046,5.28963732787824e-08,1.30117917462047e-06,1.8673289507696,2.83272719033867e-06,6.96812541008046e-05,99.9999274860187,Dijkstra,2,418,Multiparous,Group2
1898_4,312,27.7096705739661,27.7102444789018,0.930295148170133,1.31572052675249,4.74823590284269,1.04806542867079,3.78230923342507,1.32423660612147,1.06167666800418,2.06010146714745,0.964226312148703,0.999336165588345,0.964866823949106,3.2936687517479e-07,1.08478719252938e-05,1.73110932727906,1.90262245935631e-05,0.000626638752009646,99.9993543350232,Dijkstra,4,355,Multiparous,Group1
1975_1,376,40.4198645690336,40.4201116137108,0.944558656705563,1.4171751884831,3.50613542027754,1.15041460744315,2.84616145974053,1.42477403753106,1.16278465698555,2.11108774049318,0.971715568579483,0.999591916616128,0.972112271444717,6.10310725550372e-08,2.89110230010223e-06,2.00838256271874,3.03881262355807e-06,0.000143951561028617,99.9998530096271,Dijkstra,1,427,Primiparous,Group2
1025_4,376,24.5763303321514,24.5783697927339,0.952220854336898,1.32136614109387,5.37658032438319,1.07990424830358,4.39408257338901,1.32845126502552,1.09151612194125,2.02703998832347,0.975692418262,0.999669559493074,0.976014933131271,4.15939946727434e-06,7.18077118439697e-05,1.74593251171799,0.000238223325814729,0.004112678301088,99.9956490983728,Dijkstra,4,426,Multiparous,Group2
1112_1,323,35.8913108564311,35.8912731778454,0.939914020389103,1.34118438168326,3.73679408659141,1.06812207074513,2.97599069317286,1.34956686567475,1.08151545094256,2.22709251334491,0.969325313212913,0.999530835426654,0.969780299773495,1.41967582345837e-09,6.43415959684289e-08,1.79877547990984,7.89245677080128e-08,3.57696634931867e-06,99.9999963441094,Dijkstra,1,365,Primiparous,Group1
1183_4,311,34.8246902799311,34.8251247272513,0.965931838673589,1.34079588947461,3.8501301194552,1.04773652403361,3.00860256218102,1.34950244777269,1.06138781424903,2.03447273670095,0.982836354286536,0.99984769099293,0.982986071919114,1.88744474074333e-07,4.44857304892366e-06,1.79772897991449,1.0499023451814e-05,0.000247454517525971,99.9997420464591,Dijkstra,4,357,Multiparous,Group1
